"","favor","contra","absten","quorum","ausen","title","leg","filename","yr","mo","dy","haveinfo"
"63",342,0,3,0,157,"DOS DECRETOS QUE CONCEDEN PERMISO A 1 CC PARA ACEPTAR Y USAR CONDECORACIÓN QUE LE CONFIERE GOBIERNO EXTRANJERO Y A 4 CC PARA PRESTAR SERVICIOS EN REPRESENTACIONES EXTRANJERAS. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or2-sil-63",2007,3,8,1
"64",412,0,1,0,89,"DECRETO QUE REFORMA EL ARTÍCULO 5º Y EL ÚLTIMO PÁRRAFO DEL ARTÍCULO 6º DE LA LEY SOBRE EL ESCUDO, LA BANDERA Y EL HIMNO NACIONALES. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or2-sil-64",2007,3,13,1
"65",267,111,1,0,123,"INICIATIVA QUE EXPIDE LA LEY DEL INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO, Y ABROGA LA LEY DEL ISSSTE. (SI SE APRUEBA EL TRÁMITE DE LA PRESIDENCIA)",60,"60yr1or2-sil-65",2007,3,15,1
"66",251,5,82,1,163,"DECRETO QUE CONCEDE AUTORIZACION AL LIC. FELIPE DE JESUS CALDERÓN HINOJOSA, PRESIDENTE DE LOS ESTADOS UNIDOS MEXICANOS, PARA ACEPTAR Y USAR LA CONDECORACIÓN ORDEN DEL MERITO DE CHILE, EN GRADO DE COLLAR, QUE LE CONFIERE EL GOBIERNO DE LA REP. DE CHILE. (EN LO GENERAL Y EN LO PARTICULAR)",60,"60yr1or2-sil-66",2007,3,15,1
"67",204,101,6,1,190,"DICTAMEN NEGATIVO. CON PUNTO DE ACUERDO POR LOS QUE SE DESECHAN CUATRO INICIATIVAS EN MATERIA DE LEY QUE CREA EL FIDEICOMISO QUE ADMINISTRARÁ EL FONDO DE APOYO SOCIAL PARA EXTRABAJADORES MIGRATORIOS MEXICANOS. (SI SE APRUEBA)",60,"60yr1or2-sil-67",2007,3,15,1
"68",198,220,0,0,84,"PROYECTO DE LEY DEL INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO (SI SE DISPENSA LA SEGUNDA LECTURA Y SE SOMETE A DISCUSIÓN Y VOTACIÓN)",60,"60yr1or2-sil-68",2007,3,20,1
"69",393,2,17,0,90,"LEY PARA LA REFORMA DEL ESTADO. (EN LO GENERAL Y EN LO PARTICULAR LOS ARTÍCULOS NO RESERVADOS)",60,"60yr1or2-sil-69",2007,3,20,1
"70",378,1,20,0,103,"LEY PARA LA REFORMA DEL ESTADO. (EN LO PARTICULAR, LOS ARTÍCULOS   RSVDOS.: ARTS. 3º Y 12 EN SUS TÉRMINOS, ART. 6º CON LA MODIF. PROPUESTA POR EL DIP. JUAN GUERRA OCHOA Y ADMITIDA POR LA ASAMBLEA, Y SEXTO TRANSITORIO CON LA MODIFICACIÓN PROPUESTA POR EL DIP. CARLOS ZATARÁIN Y ADMITIDA POR LA ASAMBLEA)",60,"60yr1or2-sil-70",2007,3,20,1
"71",144,301,5,0,52,"PROYECTO DE LEY DEL ISSSTE, MOCIÓN SUSPENSIVA. (SI SE ADMITE)",60,"60yr1or2-sil-71",2007,3,22,1
"72",314,145,2,0,41,"PROYECTO DE LEY DEL ISSSTE. (EN LO GENERAL Y EN LO PARTICULAR LOS ARTÍCULOS NO RESERVADOS)",60,"60yr1or2-sil-72",2007,3,22,1
"73",134,285,4,0,79,"PROYECTO DE LEY DEL ISSSTE. (EN LO PARTICULAR LOS ARTÍCULOS 103 Y 110; SI SON DE ACEPTARSE LAS PROPUESTAS HECHAS POR EL DIP. JUAN GUERRA OCHOA)",60,"60yr1or2-sil-73",2007,3,22,1
"74",123,260,11,0,108,"PROYECTO DE LEY DEL ISSSTE. (EN LO PARTICULAR EL ARTÍCULO 110; SI SON DE ACEPTARSE LAS PROPUESTAS HECHAS POR EL DIP. SANTIAGO GUSTAVO PEDRO CORTÉS)",60,"60yr1or2-sil-74",2007,3,22,1
"75",114,269,4,1,114,"PROYECTO DE LEY DEL ISSSTE. (EN LO PARTICULAR LOS ARTÍCULOS 176, 185 Y 192; SI SON DE ACEPTARSE LAS PROPUESTAS HECHAS POR EL DIP. RAMÓN ALMONTE BORJA)",60,"60yr1or2-sil-75",2007,3,22,1
"76",109,263,4,0,126,"PROYECTO DE LEY DEL ISSSTE. (EN LO PARTICULAR EL ARTÍCULO 198; SI SON DE ACEPTARSE LAS PROPUESTAS HECHAS POR EL DIP. ALFONSO SUÁREZ DEL REAL Y AGUILERA)",60,"60yr1or2-sil-76",2007,3,22,1
"77",105,260,5,3,129,"PROYECTO DE LEY DEL ISSSTE. (EN LO PARTICULAR LOS ARTÍCULOS QUINTO, SÉPTIMO Y DÉCIMO TRANSITORIOS; SI SON DE ACEPTARSE LAS PROPUESTAS HECHAS POR EL DIP. MIGUEL ÁNGEL SOLARES CHÁVEZ)",60,"60yr1or2-sil-77",2007,3,22,1
